"HolderAddress","Balance","PendingBalanceUpdate"
"0x1a1d3fe88efe2b28b018c9b6abd456952c84bbd0","78866633195521000000000000006","No"
"0xd053251444c3fa5eaa6107fd5b6a27242c0ca841","244777314369","No"
"0x8c8368006af59c16bda6f186dbe95a5fcecfe4c3","244777314369","No"
"0xe83dd74e2bae012c97872a0e25066c2bb085bb93","78866633195521000000000000006","No"
"0x4d63c75ea06169298726f9eef3f11fb0d7a6e3a8","146376833992662","No"
"0x753b89314ac4c0e05eb8c576375e54c615cff536","244777314369","No"
"0xe00211090f50a94890389d0a8e2fef9c80eae5b3","229776476516396","No"
"0x01a11a9274673bb2beab1a7c9a5e8e117e2633d2","78866633195521000000000000006","No"
"0x7ad8bec0858e962d84f0891d7c2be7b264efb891","14441861547771","No"
"0x9448ba7454315dd1893b7abd2b06b033a0d46b69","299000","No"
"0x426dc25564bfb1cc2dd63930fb558fbcc8cb6e68","244777314369","No"
"0x49b4c0a54e0b99ac52df715bc86d7341d71f32cc","78866633195521000000000000006","No"
"0x6e26dac3f482677bbbd9c8f25f0d8f399130f9dd","13217974975926","No"
"0xd6bc158809aeb47efb83311cedb14429ff2be046","244777314369","No"
"0x91d9dc5a4aaab0c24f78690e60ef7dfe9017b7d5","244777314369","No"
"0x759a4216a45de7815997a78d1ea7c234395973cf","78866633195521000000000000006","No"
"0x0f4733be8e45a2f7cea349417ae0fcb7e2d15c13","244777314369","No"
"0xdfebc84b4e2021ce922f92c7bd54e7a22c35bee2","146376833992662","No"
"0x1a0369acaa7ff2e3dfc1d678af087e1397b14220","244777314369","No"
"0x0e80443d2118a08fde3047c2833de6b6b42e9975","220054805617731","No"
"0xba41b0ab5db25685240430e5a8e591d836a84708","78866633195521000000000000006","No"
"0x35728598247eca133413a7ff24cb4ede552b5326","244777314369","No"
"0x237a887772ed9cb27d9fd267c9d6a5ff5303163a","244287759740262","No"
"0x5663941c251416ef2e8832f1ea7e08ed7eb6ebf6","244777314369","No"
"0xb91748a47e3bd42cbad4e53fd5cfb078348c288a","244777314369","No"
"0x821c28869a534e7131c7bdd548948d15def7e23c","1062","No"
"0xae61ec37fce532c45ce165998deab0bcf6c2ccc7","146499222649846","No"
"0x4c7a2d63bc28a133ffa41a671be70aabaf200f00","244777314369","No"
"0x988ab0ee7b24a94ba1903a957dc4cae9f7d22e62","5032","No"
"0x1a65250f24265e3b2dd26994f4246365f896f370","244777314369","No"
"0x6b04115dd89efa61ff51dc50a33fd727a81996a8","244777314369","No"
"0x057d825aa7b0b61d39ef7f88cdb86590d6544d29","78866633195521000000000000006","No"
"0x7767bd1b20a79caa4d17444d14ed33591f33cf4e","244777314369","No"
"0x5f4b62ef1ed904b51d94ca60e93601dd8ee0ffe8","78866633195521000000000000006","No"
"0x20d76bd872f37226d7b4f4b1fa2e15fa2dee8f7e","244777314369","No"
"0x2519dce74141986455abcab3c6e14b432d4e6254","173543805419521000000000000005","No"
"0xd8682d38d10b6ad2a40bd43efeae05d4bc748952","881874507352864","No"
"0xa30d5f2aafc4a76af4a340181667ce8aa287ca22","244777314369","No"
"0x80a421e2f96478567463935b089b6c65464b794e","244777314369","No"
"0x24e99230a573eeebd4ff0af92847c7c14b736387","062","No"
